Gigplay,Personality,Advertise,Sales,date
43,10,1026,33000,1/2/2024
28,7,98569,12000,1/3/2024
35,7,144556,36000,1/4/2024
33,7,118819,27000,1/5/2024
44,5,57451,22000,1/6/2024
19,5,56895,17000,1/7/2024
20,1,47181,7000,1/8/2024
22,9,53735,21000,1/9/2024
21,7,51407,20000,1/10/2024
40,7,17409,30000,1/11/2024
32,7,172081,29000,1/12/2024
20,2,61148,7000,1/13/2024
24,8,25119,15000,1/14/2024
38,6,9797,19000,1/15/2024
24,7,40681,24000,1/16/2024
25,5,26540,10000,1/17/2024
35,5,132329,25000,1/18/2024
36,8,19665,21000,1/19/2024
27,8,132660,28000,1/20/2024
33,8,138069,23000,1/21/2024
33,7,79235,21000,1/22/2024
28,6,95717,23000,1/23/2024
30,9,178966,32000,1/24/2024
34,7,65614,21000,1/25/2024
49,7,61370,23000,1/26/2024
40,8,31336,25000,1/27/2024
20,4,33651,6000,1/28/2024
42,7,154490,33000,1/29/2024
35,8,6895,15000,1/30/2024
8,6,78569,15000,1/31/2024
49,7,12563,18000,2/1/2024
19,8,37793,8000,2/2/2024
42,6,21799,18000,2/3/2024
6,7,75986,13000,2/4/2024
36,6,116344,32000,2/5/2024
32,7,84296,28000,2/6/2024
28,6,12518,20000,2/7/2024
25,8,23660,13000,2/8/2024
34,8,66981,19000,2/9/2024
21,6,61223,15000,2/10/2024
34,7,92202,23000,2/11/2024
63,7,5000,31000,2/12/2024
31,7,200000,34000,2/13/2024
25,7,105403,24000,2/14/2024
42,7,38505,18000,2/15/2024
37,7,150797,22000,2/16/2024
25,8,10257,4000,2/17/2024
26,7,20457,19000,2/18/2024
39,7,117092,29000,2/19/2024
46,7,68955,34000,2/20/2024
36,6,78422,25000,2/21/2024
12,4,40591,19000,2/22/2024
2,8,17978,12000,2/23/2024
29,8,60726,23000,2/24/2024
33,8,154233,19000,2/25/2024
28,7,111247,21000,2/26/2024
10,6,85699,17000,2/27/2024
38,7,83633,31000,2/28/2024
19,4,23691,9000,2/29/2024
13,6,107786,14000,3/1/2024
30,7,57932,30000,3/2/2024
38,8,150000,34000,3/3/2024
22,8,73136,17000,3/4/2024
23,6,2569,10000,3/5/2024
22,9,39175,20000,3/6/2024
20,7,23400,8000,3/7/2024
18,6,27570,10000,3/8/2024
37,7,5690,7000,3/9/2024
16,8,25512,5000,3/10/2024
32,8,56650,24000,3/11/2024
26,5,10257,16000,3/12/2024
53,9,25057,29000,3/13/2024
28,7,6859,14000,3/14/2024
32,7,64279,21000,3/15/2024
24,7,150000,30000,3/16/2024
37,6,10256,23000,3/17/2024
30,8,75698,28000,3/18/2024
19,7,5123,16000,3/19/2024
47,6,64415,20000,3/20/2024
22,5,1531,11000,3/21/2024
10,8,24324,11000,3/22/2024
1,4,25689,7000,3/23/2024
1,6,2246,10000,3/24/2024
39,6,4569,19000,3/25/2024
8,5,72494,7000,3/26/2024
38,7,112646,36000,3/27/2024
35,5,198512,36000,3/28/2024
40,5,183752,30000,3/29/2024
22,7,13599,12000,3/30/2024
27,8,23770,15000,3/31/2024
31,6,97664,22000,4/1/2024
19,7,145269,28000,4/2/2024
24,9,160000,30000,4/3/2024
1,7,26860,14000,4/4/2024
38,8,90089,29000,4/5/2024
26,6,98206,18000,4/6/2024
11,6,20136,14000,4/7/2024
34,6,74602,21000,4/8/2024
55,7,113288,25000,4/9/2024
